Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",5.969000,52.197000,90.000000,top
"C2","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",8.509000,52.197000,90.000000,top
"C3","22uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",4.494000,5.207000,180.000000,top
"C4","100nF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",4.494000,10.541000,180.000000,top
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",1.675000,22.606000,90.000000,top
"C6","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",4.699000,22.606000,-90.000000,top
"C7","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",7.493000,22.608000,90.000000,top
"C8","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",10.414000,22.606000,-90.000000,top
"J1","Conn_Coaxial_Power","BarrelJack_Horizontal",13.647500,10.445000,90.000000,top
"J2","Serial","PinHeader_1x04_P2.54mm_Vertical",6.233000,57.785000,90.000000,top
"J3","Right Panel","119542892",19.766000,39.021000,0.000000,top
"J4","Left Panel","119542892",1.143000,39.025000,180.000000,top
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",10.795000,52.197000,90.000000,top
"SW1","Reset","SW_SPST_B3U-1000P",2.159000,54.737000,90.000000,top
"SW2","Boot Option","SW_SPST_B3U-1000P",18.796000,54.737000,90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",15.875000,20.955000,90.000000,top
"U2","ESP32-WROOM-32E","ESP32-WROOM-32E",10.541000,72.390000,0.000000,top
